Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,Winter_Jan_Feb,Pre_Monsoon_Mar_May,Monsoon_Jun_Sep,Post_Monsoon_Oct_Dec
2010,0.7,6.6,77.6,190.2,211.1,325.8,313.6,284.9,260.1,98.0,16.4,16.1,1801.0,7.3,478.9,1184.4,130.5
2011,14.0,14.9,68.1,90.5,181.7,330.1,345.0,347.1,273.9,40.1,7.1,3.6,1716.0,28.9,340.3,1296.0,50.8
2012,29.1,12.3,38.7,164.6,109.6,368.8,402.6,286.0,330.4,115.2,24.1,9.2,1890.8,41.4,312.9,1387.9,148.6
2013,3.4,14.4,32.7,92.1,260.2,256.9,289.9,300.0,222.5,195.8,3.5,2.5,1674.0,17.8,385.1,1069.3,201.9
2014,8.8,39.1,30.7,40.5,231.1,266.4,319.1,382.7,277.9,58.7,8.1,3.2,1666.4,47.9,302.3,1246.2,70.0
2015,16.6,14.1,43.0,165.2,162.3,346.0,359.4,396.3,219.1,45.4,11.4,14.4,1793.1,30.7,370.5,1320.7,71.2
2016,15.4,25.5,51.1,139.0,197.7,264.2,427.3,253.7,342.3,104.7,21.6,2.6,1845.2,40.9,387.8,1287.5,129.0
2017,3.0,23.0,89.7,166.1,163.7,297.0,439.0,413.8,253.0,178.9,8.1,13.4,2048.6,26.0,419.4,1402.8,200.4
2018,7.0,16.7,45.5,94.9,144.7,257.3,333.7,277.0,212.0,51.8,15.3,19.4,1475.2,23.7,285.1,1079.9,86.5
2019,4.0,44.7,47.5,99.9,192.5,224.8,474.7,215.3,330.2,129.5,19.5,10.4,1792.9,48.7,339.8,1245.0,159.3
2020,29.1,19.5,46.1,113.2,241.0,403.5,476.5,287.3,351.1,120.7,20.3,3.2,2111.5,48.6,400.3,1518.4,144.3
2021,7.7,4.4,35.9,65.6,248.6,359.6,322.3,350.4,213.2,147.8,11.6,26.0,1793.0,12.0,350.1,1245.5,185.4
2022,24.7,48.4,28.0,164.0,251.4,402.2,234.8,244.8,244.9,170.0,0.4,6.1,1815.6,73.1,443.4,1126.7,176.4
2023,1.9,21.6,66.1,63.8,111.5,286.5,290.2,340.3,210.8,134.2,14.2,26.6,1567.6,23.5,241.4,1127.7,175.0
2024,5.4,34.0,53.4,78.0,187.2,288.4,323.2,338.8,232.8,140.2,7.3,3.1,1710.2,39.4,316.0,1185.2,152.8
